image_name,mse,psnr,fmse,fpsnr,ssim,fssim,foreground_area,foreground_ratio
c21070_1396052_1_harmonized.jpg,24.6167,34.2185,879.0567,18.6906,0.99631,0.885384,1834.0,0.027985
c456071_1115286_1_harmonized.jpg,2.8856,43.5285,233.2507,24.4526,0.999425,0.975302,807.0,0.012314
c368875_1117154_1_harmonized.jpg,0.8675,48.7479,72.486,29.5283,0.99905,0.929367,775.0,0.011826
c398850_1059379_1_harmonized.jpg,5.697,40.5744,236.349,24.3953,0.997947,0.923172,1575.0,0.024033
c231679_1260859_1_harmonized.jpg,1.9497,45.2311,141.2819,26.6299,0.998834,0.940475,901.0,0.013748
c395241_508445_2_harmonized.jpg,28.4506,33.5899,661.1414,19.9279,0.994688,0.885442,2807.0,0.042831
c395241_508445_1_harmonized.jpg,3.0343,43.3102,69.242,29.7271,0.999362,0.986541,2807.0,0.042831
c76841_1444547_2_harmonized.jpg,27.4249,33.7494,902.2626,18.5775,0.997384,0.923052,1991.0,0.03038
c76841_1444547_1_harmonized.jpg,9.8618,38.1913,324.1887,23.0228,0.998191,0.949557,1991.0,0.03038
c367695_62983_1_harmonized.jpg,22.7688,34.5574,612.6782,20.2585,0.993375,0.864406,2433.0,0.037125
c49660_1318540_1_harmonized.jpg,3.1119,43.2006,278.1306,23.6883,0.999632,0.971002,730.0,0.011139
c522101_1546294_2_harmonized.jpg,16.6152,35.9258,937.7699,18.4098,0.993713,0.707879,1156.0,0.017639
c313789_1542905_1_harmonized.jpg,2.4968,44.157,193.0825,25.2734,0.999196,0.945201,841.0,0.012833
c300684_900100300684_1_harmonized.jpg,2.2626,44.5848,47.2466,31.3871,0.998073,0.982225,3083.0,0.047043
c515062_1929848_1_harmonized.jpg,2.5346,44.0916,88.1993,28.6762,0.998934,0.979297,1873.0,0.02858
c510359_450725_1_harmonized.jpg,1.6347,45.9965,157.677,26.1531,0.999112,0.947217,676.0,0.010315
c450684_1858498_2_harmonized.jpg,5.629,40.6265,244.8337,24.2421,0.997942,0.920113,1503.0,0.022934
c450684_1858498_1_harmonized.jpg,2.6851,43.8413,116.5764,27.4647,0.998982,0.959095,1503.0,0.022934
c345370_249187_1_harmonized.jpg,25.4858,34.0678,750.625,19.3766,0.992327,0.811828,2223.0,0.03392
c355650_1570173_1_harmonized.jpg,2.2498,44.6094,221.2607,24.6818,0.999275,0.943301,661.0,0.010086
c336991_21419_1_harmonized.jpg,5.4263,40.7858,443.5203,21.6617,0.99857,0.915542,788.0,0.012024
c336991_21419_2_harmonized.jpg,1.9303,45.2745,157.1502,26.1677,0.9995,0.970639,788.0,0.012024
c109568_689369_1_harmonized.jpg,4.3036,41.7925,134.8262,26.8331,0.997349,0.945193,2065.0,0.031509
c109568_689369_2_harmonized.jpg,16.953,35.8383,533.4995,20.8595,0.99474,0.88436,2065.0,0.031509
c1781_1566404_2_harmonized.jpg,5.1531,41.0101,433.6792,21.7591,0.998919,0.931186,774.0,0.01181
c1781_1566404_1_harmonized.jpg,1.7992,45.58,149.9027,26.3727,0.999507,0.967688,774.0,0.01181
c132265_273872_2_harmonized.jpg,3.6956,42.4539,151.5027,26.3266,0.998963,0.963328,1584.0,0.02417
c132265_273872_1_harmonized.jpg,2.3209,44.4741,94.8641,28.3598,0.999181,0.970781,1584.0,0.02417
c13517_1412943_3_harmonized.jpg,2.934,43.4562,286.1821,23.5644,0.999445,0.961594,670.0,0.010223
c13517_1412943_1_harmonized.jpg,3.8562,42.2693,376.498,22.3732,0.999497,0.963609,670.0,0.010223
c13517_1412943_2_harmonized.jpg,2.1875,44.7313,213.3587,24.8397,0.999641,0.975497,670.0,0.010223
c104466_655900_1_harmonized.jpg,2.5897,43.9983,119.0726,27.3727,0.999236,0.972156,1404.0,0.021423
c121682_682372_1_harmonized.jpg,2.7816,43.6879,171.5518,25.7869,0.998854,0.967359,1056.0,0.016113
c324654_1061971_1_harmonized.jpg,4.3694,41.7266,239.618,24.3356,0.997567,0.881508,1185.0,0.018082
c121016_1562397_2_harmonized.jpg,1.7866,45.6104,149.4344,26.3863,0.999142,0.939735,775.0,0.011826
c121016_1562397_1_harmonized.jpg,2.0047,45.1103,167.917,25.8799,0.999307,0.949582,775.0,0.011826
c121016_1562397_3_harmonized.jpg,1.1608,47.4832,96.4693,28.2869,0.999436,0.958595,775.0,0.011826
