image_name,mse,psnr,fmse,fpsnr,ssim,fssim,foreground_area,foreground_ratio
d1048-20120628-200951_1_3_harmonized.jpg,22.5167,34.6058,4179.0615,11.92,0.996163,0.486887,353.0,0.005386
d1048-20120628-200951_1_1_harmonized.jpg,11.3922,37.5647,2113.6233,14.8805,0.998051,0.733339,353.0,0.005386
d1048-20120628-200951_1_2_harmonized.jpg,14.4718,36.5256,2685.6213,13.8404,0.99748,0.658537,353.0,0.005386
d18726-20120509-195331_1_2_harmonized.jpg,10.6771,37.8463,295.0791,23.4314,0.98743,0.718322,2365.0,0.036087
d18726-20120509-195331_1_1_harmonized.jpg,11.5888,37.4904,320.1601,23.0771,0.985104,0.656787,2365.0,0.036087
d18726-20120509-195331_1_3_harmonized.jpg,7.3826,39.4487,203.7869,25.039,0.989509,0.765852,2365.0,0.036087
d18726-20120509-195331_1_4_harmonized.jpg,3.4493,42.7535,94.7827,28.3635,0.991441,0.791862,2365.0,0.036087
d18726-20120509-195331_1_5_harmonized.jpg,9.0986,38.541,251.4406,24.1264,0.986207,0.664194,2365.0,0.036087
d18726-20120509-195331_1_6_harmonized.jpg,10.0029,38.1296,276.1366,23.7196,0.980654,0.542954,2365.0,0.036087
d18726-20120509-195331_1_7_harmonized.jpg,10.6073,37.8748,292.9915,23.4623,0.979419,0.516016,2365.0,0.036087
d18997-17_1_1_harmonized.jpg,0.5549,50.689,110.7637,27.6868,0.999297,0.983401,292.0,0.004456
d18997-17_1_2_harmonized.jpg,3.7026,42.4457,817.6758,19.005,0.997873,0.857082,292.0,0.004456
d18997-17_1_3_harmonized.jpg,2.814,43.6375,622.0719,20.1924,0.998563,0.931542,292.0,0.004456
d18997-17_1_4_harmonized.jpg,2.7174,43.7892,600.1633,20.3481,0.997987,0.902504,292.0,0.004456
d18997-17_1_5_harmonized.jpg,1.048,47.9273,218.7934,24.7305,0.999153,0.969106,292.0,0.004456
d18962-20121004-021509_1_3_harmonized.jpg,1.4768,46.4376,339.0597,22.828,0.999612,0.931943,285.0,0.004349
d18962-20121004-021509_1_1_harmonized.jpg,4.1546,41.9455,954.7393,18.332,0.999298,0.903545,285.0,0.004349
d18962-20121004-021509_1_2_harmonized.jpg,2.4264,44.2812,557.448,20.6688,0.999696,0.956824,285.0,0.004349
d18962-20121004-021509_1_4_harmonized.jpg,1.0222,48.0353,234.5029,24.4293,0.999749,0.959757,285.0,0.004349
d18897-20120428-164138_1_2_harmonized.jpg,72.133,29.5495,5158.7134,11.0054,0.985046,0.418718,916.0,0.013977
d18897-20120428-164138_1_1_harmonized.jpg,6.6688,39.8904,475.0495,21.3634,0.997272,0.920786,916.0,0.013977
d18071-20120319-003852_1_3_harmonized.jpg,1.3849,46.7166,188.547,25.3766,0.998233,0.785523,479.0,0.007309
d18071-20120319-003852_1_1_harmonized.jpg,1.5906,46.1152,216.4802,24.7766,0.997845,0.743089,479.0,0.007309
d18071-20120319-003852_1_2_harmonized.jpg,1.8657,45.4224,254.0244,24.082,0.997466,0.698662,479.0,0.007309
